"","Date","Time_Type","Hour","Station","AQHI","AQHI_Level"
"83","2019-10-02","Hourly",14,"Kwun Tong",7,3
"84","2019-10-02","Hourly",14,"Sham Shui Po",6,2
"85","2019-10-02","Hourly",14,"Kwai Chung",6,2
"86","2019-10-02","Hourly",14,"Tseung Kwan O",7,3
"87","2019-10-02","Hourly",14,"Yuen Long",7,3
"88","2019-10-02","Hourly",14,"Tung Chung",7,3
"89","2019-10-02","Hourly",14,"Tai Po",8,4
"90","2019-10-02","Hourly",14,"Sha Tin",7,3
"91","2019-10-02","Hourly",14,"Causeway Bay",7,3
"92","2019-10-02","Hourly",15,"Kwun Tong",7,3
"93","2019-10-02","Hourly",15,"Sham Shui Po",6,2
"94","2019-10-02","Hourly",15,"Kwai Chung",6,2
"95","2019-10-02","Hourly",15,"Tsuen Wan",7,3
"96","2019-10-02","Hourly",15,"Tseung Kwan O",7,3
"97","2019-10-02","Hourly",15,"Yuen Long",7,3
"98","2019-10-02","Hourly",15,"Tuen Mun",7,3
"99","2019-10-02","Hourly",15,"Tung Chung",7,3
"100","2019-10-02","Hourly",15,"Tai Po",8,4
"101","2019-10-02","Hourly",15,"Sha Tin",7,3
"102","2019-10-02","Hourly",15,"Tap Mun",8,4
"103","2019-10-02","Hourly",15,"Causeway Bay",7,3
"104","2019-10-02","Hourly",15,"Central",7,3
"105","2019-10-02","Hourly",16,"Kwun Tong",7,3
"106","2019-10-02","Hourly",16,"Sham Shui Po",6,2
"107","2019-10-02","Hourly",16,"Kwai Chung",6,2
"108","2019-10-02","Hourly",16,"Tseung Kwan O",7,3
"109","2019-10-02","Hourly",16,"Yuen Long",7,3
"110","2019-10-02","Hourly",16,"Tai Po",8,4
"111","2019-10-02","Hourly",16,"Sha Tin",7,3
"112","2019-10-02","Hourly",16,"Tap Mun",8,4
"113","2019-10-02","Hourly",16,"Causeway Bay",7,3
"114","2019-10-02","Hourly",16,"Mong Kok",8,4
"115","2019-10-02","Hourly",17,"Kwun Tong",7,3
"116","2019-10-02","Hourly",17,"Sham Shui Po",6,2
"117","2019-10-02","Hourly",17,"Kwai Chung",6,2
"118","2019-10-02","Hourly",17,"Tseung Kwan O",7,3
"119","2019-10-02","Hourly",17,"Tai Po",8,4
"120","2019-10-02","Hourly",17,"Sha Tin",7,3
"121","2019-10-02","Hourly",17,"Causeway Bay",7,3
"122","2019-10-02","Hourly",17,"Mong Kok",8,4
"123","2019-10-02","Hourly",18,"Kwun Tong",7,3
"124","2019-10-02","Hourly",18,"Sham Shui Po",6,2
"125","2019-10-02","Hourly",18,"Kwai Chung",6,2
"126","2019-10-02","Hourly",18,"Causeway Bay",7,3
"127","2019-10-03","Hourly",1,"Kwun Tong",5,2
"128","2019-10-03","Hourly",1,"Central",5,2
"129","2019-10-03","Hourly",2,"Central",5,2
"130","2019-10-03","Hourly",4,"Eastern",5,2
"131","2019-10-03","Hourly",9,"Central",5,2
"132","2019-10-03","Hourly",10,"Kwun Tong",5,2
"133","2019-10-03","Hourly",10,"Causeway Bay",5,2
"134","2019-10-03","Hourly",10,"Central",5,2
"135","2019-10-03","Hourly",11,"Central Western",5,2
"136","2019-10-03","Hourly",11,"Kwun Tong",5,2
"137","2019-10-03","Hourly",11,"Sham Shui Po",5,2
"138","2019-10-03","Hourly",11,"Kwai Chung",5,2
"139","2019-10-03","Hourly",11,"Causeway Bay",5,2
"140","2019-10-03","Hourly",11,"Central",5,2
"141","2019-10-03","Hourly",12,"Central Western",5,2
"142","2019-10-03","Hourly",12,"Kwun Tong",5,2
"143","2019-10-03","Hourly",12,"Sham Shui Po",5,2
"144","2019-10-03","Hourly",12,"Kwai Chung",5,2
"145","2019-10-03","Hourly",12,"Tuen Mun",5,2
"146","2019-10-03","Hourly",12,"Tung Chung",5,2
"147","2019-10-03","Hourly",12,"Causeway Bay",5,2
"148","2019-10-03","Hourly",12,"Central",5,2
"149","2019-10-03","Hourly",13,"Central Western",5,2
"150","2019-10-03","Hourly",13,"Kwun Tong",5,2
"151","2019-10-03","Hourly",13,"Sham Shui Po",5,2
"152","2019-10-03","Hourly",13,"Kwai Chung",5,2
"153","2019-10-03","Hourly",13,"Tsuen Wan",5,2
"154","2019-10-03","Hourly",13,"Tseung Kwan O",5,2
"155","2019-10-03","Hourly",13,"Yuen Long",5,2
"156","2019-10-03","Hourly",13,"Tuen Mun",5,2
"157","2019-10-03","Hourly",13,"Tung Chung",5,2
"158","2019-10-03","Hourly",13,"Sha Tin",5,2
"159","2019-10-03","Hourly",13,"Tap Mun",5,2
"160","2019-10-03","Hourly",13,"Causeway Bay",5,2
"161","2019-10-03","Hourly",13,"Central",5,2
"162","2019-10-03","Hourly",14,"Central Western",5,2
"163","2019-10-03","Hourly",14,"Eastern",5,2
"164","2019-10-03","Hourly",14,"Kwun Tong",5,2
"165","2019-10-03","Hourly",14,"Sham Shui Po",5,2
"166","2019-10-03","Hourly",14,"Kwai Chung",5,2
"167","2019-10-03","Hourly",14,"Tsuen Wan",5,2
"168","2019-10-03","Hourly",14,"Tseung Kwan O",5,2
"169","2019-10-03","Hourly",14,"Yuen Long",5,2
"170","2019-10-03","Hourly",14,"Tuen Mun",5,2
"171","2019-10-03","Hourly",14,"Tung Chung",5,2
"172","2019-10-03","Hourly",14,"Tai Po",5,2
"173","2019-10-03","Hourly",14,"Sha Tin",5,2
"174","2019-10-03","Hourly",14,"Tap Mun",5,2
"175","2019-10-03","Hourly",14,"Causeway Bay",5,2
"176","2019-10-03","Hourly",14,"Central",5,2
"177","2019-10-03","Hourly",15,"Eastern",5,2
"178","2019-10-03","Hourly",15,"Kwun Tong",5,2
"179","2019-10-03","Hourly",15,"Sham Shui Po",5,2
"180","2019-10-03","Hourly",15,"Kwai Chung",5,2
"181","2019-10-03","Hourly",15,"Tsuen Wan",5,2
"182","2019-10-03","Hourly",15,"Tseung Kwan O",5,2
"183","2019-10-03","Hourly",15,"Yuen Long",5,2
"184","2019-10-03","Hourly",15,"Tuen Mun",5,2
"185","2019-10-03","Hourly",15,"Tai Po",5,2
"186","2019-10-03","Hourly",15,"Sha Tin",5,2
"187","2019-10-03","Hourly",15,"Tap Mun",5,2
"188","2019-10-03","Hourly",15,"Causeway Bay",5,2
"189","2019-10-03","Hourly",15,"Central",5,2
"190","2019-10-03","Hourly",16,"Eastern",5,2
"191","2019-10-03","Hourly",16,"Kwun Tong",5,2
"192","2019-10-03","Hourly",16,"Kwai Chung",5,2
"193","2019-10-03","Hourly",16,"Tsuen Wan",5,2
"194","2019-10-03","Hourly",16,"Tseung Kwan O",5,2
"195","2019-10-03","Hourly",16,"Yuen Long",5,2
"196","2019-10-03","Hourly",16,"Tuen Mun",5,2
"197","2019-10-03","Hourly",16,"Tung Chung",5,2
"198","2019-10-03","Hourly",16,"Tai Po",5,2
"199","2019-10-03","Hourly",16,"Sha Tin",5,2
"200","2019-10-03","Hourly",16,"Tap Mun",5,2
"201","2019-10-03","Hourly",16,"Causeway Bay",5,2
"202","2019-10-03","Hourly",16,"Central",5,2
"203","2019-10-03","Hourly",17,"Eastern",5,2
"204","2019-10-03","Hourly",17,"Kwun Tong",5,2
"205","2019-10-03","Hourly",17,"Tsuen Wan",5,2
"206","2019-10-03","Hourly",17,"Tseung Kwan O",5,2
"207","2019-10-03","Hourly",17,"Yuen Long",5,2
"208","2019-10-03","Hourly",17,"Tuen Mun",5,2
"209","2019-10-03","Hourly",17,"Tung Chung",5,2
"210","2019-10-03","Hourly",17,"Tai Po",5,2
"211","2019-10-03","Hourly",17,"Sha Tin",5,2
"212","2019-10-03","Hourly",17,"Tap Mun",5,2
"213","2019-10-03","Hourly",17,"Causeway Bay",5,2
"214","2019-10-03","Hourly",17,"Central",5,2
"215","2019-10-03","Hourly",18,"Eastern",5,2
"216","2019-10-03","Hourly",18,"Kwun Tong",5,2
"217","2019-10-03","Hourly",18,"Tseung Kwan O",5,2
"218","2019-10-03","Hourly",18,"Yuen Long",5,2
"219","2019-10-03","Hourly",18,"Tuen Mun",5,2
"220","2019-10-03","Hourly",18,"Tai Po",5,2
"221","2019-10-03","Hourly",18,"Causeway Bay",5,2
"222","2019-10-03","Hourly",18,"Central",5,2
"223","2019-10-03","Hourly",19,"Kwun Tong",5,2
"224","2019-10-03","Hourly",19,"Yuen Long",5,2
"225","2019-10-03","Hourly",19,"Tuen Mun",5,2
"226","2019-10-03","Hourly",19,"Causeway Bay",5,2
"227","2019-10-03","Hourly",19,"Central",5,2
"228","2019-10-03","Hourly",19,"Mong Kok",6,2
"229","2019-10-03","Hourly",20,"Kwun Tong",5,2
"230","2019-10-03","Hourly",20,"Causeway Bay",5,2
"231","2019-10-03","Hourly",20,"Mong Kok",6,2
"232","2019-10-03","Hourly",21,"Causeway Bay",5,2
"233","2019-10-03","Hourly",21,"Mong Kok",6,2
"234","2019-10-04","Hourly",12,"Yuen Long",4,2
"235","2019-10-04","Hourly",13,"Sham Shui Po",4,2
"236","2019-10-04","Hourly",13,"Yuen Long",4,2
"237","2019-10-04","Hourly",13,"Tuen Mun",4,2
"238","2019-10-04","Hourly",14,"Central Western",4,2
"239","2019-10-04","Hourly",14,"Sham Shui Po",4,2
"240","2019-10-04","Hourly",14,"Yuen Long",4,2
"241","2019-10-04","Hourly",14,"Tuen Mun",4,2
"242","2019-10-04","Hourly",14,"Tung Chung",4,2
"243","2019-10-04","Hourly",14,"Central",5,2
"244","2019-10-04","Hourly",15,"Central Western",4,2
"245","2019-10-04","Hourly",15,"Kwun Tong",5,2
"246","2019-10-04","Hourly",15,"Sham Shui Po",4,2
"247","2019-10-04","Hourly",15,"Kwai Chung",4,2
"248","2019-10-04","Hourly",15,"Tsuen Wan",4,2
"249","2019-10-04","Hourly",15,"Yuen Long",4,2
"250","2019-10-04","Hourly",15,"Tuen Mun",4,2
"251","2019-10-04","Hourly",15,"Tung Chung",4,2
"252","2019-10-04","Hourly",15,"Tai Po",5,2
"253","2019-10-04","Hourly",15,"Sha Tin",5,2
"254","2019-10-04","Hourly",15,"Causeway Bay",6,2
"255","2019-10-04","Hourly",15,"Central",5,2
"256","2019-10-04","Hourly",16,"Central Western",4,2
"257","2019-10-04","Hourly",16,"Eastern",5,2
"258","2019-10-04","Hourly",16,"Sham Shui Po",4,2
"259","2019-10-04","Hourly",16,"Kwai Chung",4,2
"260","2019-10-04","Hourly",16,"Tsuen Wan",4,2
"261","2019-10-04","Hourly",16,"Tseung Kwan O",5,2
"262","2019-10-04","Hourly",16,"Yuen Long",4,2
"263","2019-10-04","Hourly",16,"Tuen Mun",4,2
"264","2019-10-04","Hourly",16,"Tung Chung",4,2
"265","2019-10-04","Hourly",16,"Tai Po",5,2
"266","2019-10-04","Hourly",16,"Sha Tin",5,2
"267","2019-10-04","Hourly",16,"Causeway Bay",6,2
"268","2019-10-04","Hourly",16,"Central",5,2
"269","2019-10-04","Hourly",16,"Mong Kok",5,2
"270","2019-10-04","Hourly",17,"Central Western",4,2
"271","2019-10-04","Hourly",17,"Eastern",5,2
"272","2019-10-04","Hourly",17,"Sham Shui Po",4,2
"273","2019-10-04","Hourly",17,"Kwai Chung",4,2
"274","2019-10-04","Hourly",17,"Tsuen Wan",4,2
"275","2019-10-04","Hourly",17,"Tseung Kwan O",5,2
"276","2019-10-04","Hourly",17,"Yuen Long",4,2
"277","2019-10-04","Hourly",17,"Tuen Mun",4,2
"278","2019-10-04","Hourly",17,"Tung Chung",4,2
"279","2019-10-04","Hourly",17,"Tai Po",5,2
"280","2019-10-04","Hourly",17,"Tap Mun",5,2
"281","2019-10-04","Hourly",17,"Causeway Bay",6,2
"282","2019-10-04","Hourly",17,"Mong Kok",5,2
"283","2019-10-04","Hourly",18,"Central Western",4,2
"284","2019-10-04","Hourly",18,"Kwun Tong",5,2
"285","2019-10-04","Hourly",18,"Sham Shui Po",4,2
"286","2019-10-04","Hourly",18,"Kwai Chung",4,2
"287","2019-10-04","Hourly",18,"Tsuen Wan",4,2
"288","2019-10-04","Hourly",18,"Yuen Long",4,2
"289","2019-10-04","Hourly",18,"Tuen Mun",4,2
"290","2019-10-04","Hourly",18,"Tung Chung",4,2
"291","2019-10-04","Hourly",18,"Tai Po",5,2
"292","2019-10-04","Hourly",18,"Mong Kok",5,2
"293","2019-10-04","Hourly",19,"Kwun Tong",5,2
"294","2019-10-04","Hourly",19,"Sham Shui Po",4,2
"295","2019-10-04","Hourly",19,"Kwai Chung",4,2
"296","2019-10-04","Hourly",19,"Tsuen Wan",4,2
"297","2019-10-04","Hourly",19,"Yuen Long",4,2
"298","2019-10-04","Hourly",19,"Tuen Mun",4,2
"299","2019-10-04","Hourly",19,"Tung Chung",4,2
"300","2019-10-04","Hourly",20,"Sham Shui Po",4,2
"301","2019-10-04","Hourly",20,"Yuen Long",4,2
"302","2019-10-04","Hourly",20,"Tuen Mun",4,2
"303","2019-10-04","Hourly",21,"Sham Shui Po",4,2
"304","2019-10-04","Hourly",21,"Tuen Mun",4,2
"305","2019-10-04","Hourly",22,"Tuen Mun",4,2
"306","2019-10-04","Hourly",23,"Tuen Mun",4,2
"307","2019-10-04","Hourly",24,"Tuen Mun",4,2
"308","2019-10-05","Hourly",11,"Central",4,2
"309","2019-10-05","Hourly",12,"Tsuen Wan",3,1
"310","2019-10-05","Hourly",12,"Causeway Bay",4,2
"311","2019-10-05","Hourly",12,"Central",4,2
"312","2019-10-05","Hourly",13,"Tsuen Wan",3,1
"313","2019-10-05","Hourly",13,"Causeway Bay",4,2
"314","2019-10-05","Hourly",13,"Central",4,2
"315","2019-10-05","Hourly",14,"Eastern",4,2
"316","2019-10-05","Hourly",14,"Kwai Chung",4,2
"317","2019-10-05","Hourly",14,"Tsuen Wan",3,1
"318","2019-10-05","Hourly",14,"Tseung Kwan O",5,2
"319","2019-10-05","Hourly",14,"Yuen Long",5,2
"320","2019-10-05","Hourly",14,"Tung Chung",4,2
"321","2019-10-05","Hourly",14,"Sha Tin",4,2
"322","2019-10-05","Hourly",14,"Causeway Bay",4,2
"323","2019-10-05","Hourly",14,"Central",4,2
"324","2019-10-05","Hourly",15,"Eastern",4,2
"325","2019-10-05","Hourly",15,"Kwun Tong",5,2
"326","2019-10-05","Hourly",15,"Kwai Chung",4,2
"327","2019-10-05","Hourly",15,"Tsuen Wan",3,1
"328","2019-10-05","Hourly",15,"Tseung Kwan O",5,2
"329","2019-10-05","Hourly",15,"Yuen Long",5,2
"330","2019-10-05","Hourly",15,"Tuen Mun",5,2
"331","2019-10-05","Hourly",15,"Tung Chung",4,2
"332","2019-10-05","Hourly",15,"Tai Po",5,2
"333","2019-10-05","Hourly",15,"Sha Tin",4,2
"334","2019-10-05","Hourly",15,"Causeway Bay",4,2
"335","2019-10-05","Hourly",15,"Central",4,2
"336","2019-10-05","Hourly",16,"Eastern",4,2
"337","2019-10-05","Hourly",16,"Kwun Tong",5,2
"338","2019-10-05","Hourly",16,"Tsuen Wan",3,1
"339","2019-10-05","Hourly",16,"Tseung Kwan O",5,2
"340","2019-10-05","Hourly",16,"Yuen Long",5,2
"341","2019-10-05","Hourly",16,"Tuen Mun",5,2
"342","2019-10-05","Hourly",16,"Tung Chung",4,2
"343","2019-10-05","Hourly",16,"Tai Po",5,2
"344","2019-10-05","Hourly",16,"Sha Tin",4,2
"345","2019-10-05","Hourly",16,"Tap Mun",5,2
"346","2019-10-05","Hourly",16,"Causeway Bay",4,2
"347","2019-10-05","Hourly",16,"Central",4,2
"348","2019-10-05","Hourly",16,"Mong Kok",5,2
"349","2019-10-05","Hourly",17,"Central Western",4,2
"350","2019-10-05","Hourly",17,"Eastern",4,2
"351","2019-10-05","Hourly",17,"Sham Shui Po",4,2
"352","2019-10-05","Hourly",17,"Kwai Chung",4,2
"353","2019-10-05","Hourly",17,"Tsuen Wan",3,1
"354","2019-10-05","Hourly",17,"Yuen Long",5,2
"355","2019-10-05","Hourly",17,"Tung Chung",4,2
"356","2019-10-05","Hourly",17,"Sha Tin",4,2
"357","2019-10-05","Hourly",17,"Tap Mun",5,2
"358","2019-10-05","Hourly",17,"Causeway Bay",4,2
"359","2019-10-05","Hourly",17,"Central",4,2
"360","2019-10-05","Hourly",17,"Mong Kok",5,2
"361","2019-10-05","Hourly",18,"Central Western",4,2
"362","2019-10-05","Hourly",18,"Eastern",4,2
"363","2019-10-05","Hourly",18,"Sham Shui Po",4,2
"364","2019-10-05","Hourly",18,"Kwai Chung",4,2
"365","2019-10-05","Hourly",18,"Tsuen Wan",3,1
"366","2019-10-05","Hourly",18,"Sha Tin",4,2
"367","2019-10-05","Hourly",18,"Tap Mun",5,2
"368","2019-10-05","Hourly",18,"Causeway Bay",4,2
"369","2019-10-05","Hourly",18,"Central",4,2
"370","2019-10-05","Hourly",18,"Mong Kok",5,2
"371","2019-10-05","Hourly",19,"Central Western",4,2
"372","2019-10-05","Hourly",19,"Eastern",4,2
"373","2019-10-05","Hourly",19,"Sham Shui Po",4,2
"374","2019-10-05","Hourly",19,"Kwai Chung",4,2
"375","2019-10-05","Hourly",19,"Tsuen Wan",3,1
"376","2019-10-05","Hourly",19,"Sha Tin",4,2
"377","2019-10-05","Hourly",19,"Tap Mun",5,2
"378","2019-10-05","Hourly",19,"Causeway Bay",4,2
"379","2019-10-05","Hourly",19,"Central",4,2
"380","2019-10-05","Hourly",19,"Mong Kok",5,2
"381","2019-10-05","Hourly",20,"Central Western",4,2
"382","2019-10-05","Hourly",20,"Eastern",4,2
"383","2019-10-05","Hourly",20,"Sham Shui Po",4,2
"384","2019-10-05","Hourly",20,"Kwai Chung",4,2
"385","2019-10-05","Hourly",20,"Tsuen Wan",3,1
"386","2019-10-05","Hourly",20,"Sha Tin",4,2
"387","2019-10-05","Hourly",20,"Causeway Bay",4,2
"388","2019-10-05","Hourly",20,"Central",4,2
"389","2019-10-05","Hourly",20,"Mong Kok",5,2
"390","2019-10-05","Hourly",21,"Central Western",4,2
"391","2019-10-05","Hourly",21,"Eastern",4,2
"392","2019-10-05","Hourly",21,"Sham Shui Po",4,2
"393","2019-10-05","Hourly",21,"Kwai Chung",4,2
"394","2019-10-05","Hourly",21,"Tsuen Wan",3,1
"395","2019-10-05","Hourly",21,"Causeway Bay",4,2
"396","2019-10-05","Hourly",21,"Central",4,2
"397","2019-10-05","Hourly",22,"Central Western",4,2
"398","2019-10-05","Hourly",22,"Eastern",4,2
"399","2019-10-05","Hourly",22,"Sham Shui Po",4,2
"400","2019-10-05","Hourly",22,"Tsuen Wan",3,1
"401","2019-10-05","Hourly",22,"Causeway Bay",4,2
"402","2019-10-05","Hourly",22,"Central",4,2
"403","2019-10-05","Hourly",23,"Tsuen Wan",3,1
"404","2019-10-05","Hourly",23,"Causeway Bay",4,2
"405","2019-10-05","Hourly",23,"Central",4,2
"406","2019-10-05","Hourly",24,"Tsuen Wan",3,1
"407","2019-10-05","Hourly",24,"Central",4,2
"408","2019-10-06","Hourly",1,"Tap Mun",4,2
"409","2019-10-06","Hourly",1,"Central",4,2
"410","2019-10-06","Hourly",2,"Central Western",4,2
"411","2019-10-06","Hourly",2,"Eastern",4,2
"412","2019-10-06","Hourly",2,"Kwun Tong",4,2
"413","2019-10-06","Hourly",2,"Sham Shui Po",4,2
"414","2019-10-06","Hourly",2,"Tseung Kwan O",4,2
"415","2019-10-06","Hourly",2,"Tap Mun",4,2
"416","2019-10-06","Hourly",2,"Causeway Bay",4,2
"417","2019-10-06","Hourly",2,"Central",4,2
"418","2019-10-06","Hourly",2,"Mong Kok",4,2
"419","2019-10-06","Hourly",3,"Central Western",4,2
"420","2019-10-06","Hourly",3,"Eastern",4,2
"421","2019-10-06","Hourly",3,"Kwun Tong",4,2
"422","2019-10-06","Hourly",3,"Sham Shui Po",4,2
"423","2019-10-06","Hourly",3,"Kwai Chung",4,2
"424","2019-10-06","Hourly",3,"Tsuen Wan",4,2
"425","2019-10-06","Hourly",3,"Tseung Kwan O",4,2
"426","2019-10-06","Hourly",3,"Tuen Mun",4,2
"427","2019-10-06","Hourly",3,"Tung Chung",4,2
"428","2019-10-06","Hourly",3,"Sha Tin",4,2
"429","2019-10-06","Hourly",3,"Tap Mun",4,2
"430","2019-10-06","Hourly",3,"Causeway Bay",4,2
"431","2019-10-06","Hourly",3,"Central",4,2
"432","2019-10-06","Hourly",3,"Mong Kok",4,2
"433","2019-10-06","Hourly",4,"Central Western",4,2
"434","2019-10-06","Hourly",4,"Eastern",4,2
"435","2019-10-06","Hourly",4,"Kwun Tong",4,2
"436","2019-10-06","Hourly",4,"Sham Shui Po",4,2
"437","2019-10-06","Hourly",4,"Kwai Chung",4,2
"438","2019-10-06","Hourly",4,"Tsuen Wan",4,2
"439","2019-10-06","Hourly",4,"Tseung Kwan O",4,2
"440","2019-10-06","Hourly",4,"Yuen Long",4,2
"441","2019-10-06","Hourly",4,"Tuen Mun",4,2
"442","2019-10-06","Hourly",4,"Tung Chung",4,2
"443","2019-10-06","Hourly",4,"Tai Po",4,2
"444","2019-10-06","Hourly",4,"Sha Tin",4,2
"445","2019-10-06","Hourly",4,"Tap Mun",4,2
"446","2019-10-06","Hourly",4,"Causeway Bay",4,2
"447","2019-10-06","Hourly",4,"Central",4,2
"448","2019-10-06","Hourly",4,"Mong Kok",4,2
"449","2019-10-06","Hourly",5,"Central Western",4,2
"450","2019-10-06","Hourly",5,"Eastern",4,2
"451","2019-10-06","Hourly",5,"Kwun Tong",4,2
"452","2019-10-06","Hourly",5,"Sham Shui Po",4,2
"453","2019-10-06","Hourly",5,"Kwai Chung",4,2
"454","2019-10-06","Hourly",5,"Tsuen Wan",4,2
"455","2019-10-06","Hourly",5,"Tseung Kwan O",4,2
"456","2019-10-06","Hourly",5,"Yuen Long",4,2
"457","2019-10-06","Hourly",5,"Tuen Mun",4,2
"458","2019-10-06","Hourly",5,"Tung Chung",4,2
"459","2019-10-06","Hourly",5,"Tai Po",4,2
"460","2019-10-06","Hourly",5,"Sha Tin",4,2
"461","2019-10-06","Hourly",5,"Tap Mun",4,2
"462","2019-10-06","Hourly",5,"Causeway Bay",4,2
"463","2019-10-06","Hourly",5,"Central",4,2
"464","2019-10-06","Hourly",5,"Mong Kok",4,2
"465","2019-10-06","Hourly",6,"Central Western",4,2
"466","2019-10-06","Hourly",6,"Eastern",4,2
"467","2019-10-06","Hourly",6,"Kwun Tong",4,2
"468","2019-10-06","Hourly",6,"Sham Shui Po",4,2
"469","2019-10-06","Hourly",6,"Kwai Chung",4,2
"470","2019-10-06","Hourly",6,"Tsuen Wan",4,2
"471","2019-10-06","Hourly",6,"Tseung Kwan O",4,2
"472","2019-10-06","Hourly",6,"Yuen Long",4,2
"473","2019-10-06","Hourly",6,"Tuen Mun",4,2
"474","2019-10-06","Hourly",6,"Tung Chung",4,2
"475","2019-10-06","Hourly",6,"Tai Po",4,2
"476","2019-10-06","Hourly",6,"Sha Tin",4,2
"477","2019-10-06","Hourly",6,"Tap Mun",4,2
